year,rating,num_reviews,body,acidity,price
2006,4.6,274,4,2,391.5
1998,4.6,244,5,3,1350
2007,4.6,242,4,3,145
2012,4.6,231,4,3,173.38
2011,4.6,225,4,3,220
2017,4.6,222,4,3,85.7
1965,4.6,218,5,3,2884.04
2015,4.6,214,4,3,79.9
2018,4.6,211,5,3,68.7
2003,4.6,205,5,3,1638.95
2004,4.6,202,4,3,150
2016,4.6,200,5,3,48.95
2014,4.6,197,5,3,109.41
2014,4.6,186,5,3,119
1992,4.6,176,5,3,195
2014,4.6,172,5,3,1595
2010,4.6,169,4,2,519.55
2012,4.6,165,5,3,89
2011,4.6,165,4,2,511.9
1999,4.6,164,4,3,980
2015,4.6,160,4,3,73
2012,4.6,159,4,2,280
1973,4.6,157,5,3,932.3
2014,4.6,157,4,3,251.99
2014,4.6,153,5,3,61.69
1996,4.6,150,4,3,1372.14
2014,4.6,147,5,3,210.5
1985,4.6,146,5,3,285
2001,4.6,145,5,3,245.75
1989,4.6,143,5,3,228.57
2015,4.6,143,4,3,319.9
2005,4.6,142,4,2,325
2011,4.6,139,4,3,345
2018,4.6,136,4,2,58.9
2005,4.6,136,4,3,159
2013,4.6,135,4,3,69.9
1989,4.6,133,5,3,895.4
2017,4.6,131,5,3,147.85
2018,4.6,128,4,2,88.05
1997,4.6,127,4,3,1080
2001,4.6,124,4,2,301
2014,4.6,124,4,2,275
1967,4.6,123,5,3,1106.24
2016,4.6,123,5,3,64.9
2000,4.6,122,5,3,1503
1995,4.6,122,4,3,1372.14
2015,4.6,122,4,2,241.55
2013,4.6,116,4,3,89.17
1975,4.6,115,5,3,769.9
2019,4.6,114,5,3,67.94
2016,4.6,113,5,3,44
2009,4.6,113,4,2,445
2010,4.6,112,4,3,87.02
2009,4.6,111,5,3,747.17
2018,4.6,111,5,3,49.95
2018,4.6,107,3,3,50.51
2004,4.6,105,5,3,157.4
2015,4.6,105,5,3,120.9
1996,4.6,102,5,3,1746.94
2015,4.6,100,5,3,75.3
2018,4.6,99,5,3,47.5
2012,4.6,98,5,3,359.9
2019,4.6,97,5,3,43.5
2005,4.6,95,4,3,136
2006,4.6,94,,,117.2394201
2011,4.6,93,5,3,135
2013,4.6,91,4,3,82.5
2017,4.6,90,4,3,149.9
2008,4.6,87,5,3,1260
2015,4.6,86,5,3,59
2011,4.6,85,5,3,82.5
2011,4.6,85,4,3,195
1980,4.6,84,5,3,195
2016,4.6,83,5,3,54.5
2015,4.6,80,5,3,79.1
2004,4.6,79,4,3,272
2014,4.6,75,4,3,99
,4.6,74,4,3,189.99
2011,4.6,72,5,3,317.63
2007,4.6,70,4,3,399.6
1910,4.6,70,5,1,701.05
2008,4.6,69,2,3,74.9
2008,4.6,66,4,3,654.31
1983,4.6,66,5,3,247.75
1965,4.6,65,5,1,144.99
2001,4.6,65,4,3,945
2017,4.6,64,5,3,50
2016,4.6,63,4,3,126.64
2008,4.6,63,4,3,162.38
2001,4.6,60,4,3,81
2010,4.6,60,4,3,2750
2001,4.6,59,4,3,121
2016,4.6,59,4,3,355.95
2001,4.6,58,2,3,164.66
2016,4.6,58,5,3,120.9
2014,4.6,58,5,3,218.9
2016,4.6,57,5,3,65.95
2014,4.6,53,4,3,86
2017,4.6,53,,,34.5
2007,4.6,51,4,3,282.65
2017,4.6,51,4,3,259.9
1961,4.6,50,5,3,1099.28
2016,4.6,49,5,3,35
2016,4.6,48,3,3,269.95
2014,4.6,47,4,3,27.2693427
2018,4.6,47,5,3,1250
2016,4.6,47,4,3,52.95
2018,4.6,46,4,3,114.95
,4.6,46,4,3,89.9
1979,4.6,46,5,3,195
2015,4.6,45,4,3,29.35
2014,4.6,45,4,3,79.9
2016,4.6,45,5,3,53.95
2018,4.6,44,,,26.2
2016,4.6,43,4,3,270.44
2009,4.6,42,4,2,187.5
1954,4.6,42,4,3,210
2016,4.6,41,5,3,85.63
2017,4.6,41,4,2,304.54
2020,4.6,41,4,3,34.3
2003,4.6,41,4,3,993.28
2017,4.6,40,4,3,85.95
2020,4.6,39,,,12
2015,4.6,39,5,3,249.9
1982,4.6,39,5,3,1238.43
2002,4.6,38,4,3,128
2011,4.6,38,3,3,135.5
2019,4.6,38,4,3,40.5
2017,4.6,37,,,43.1
2017,4.6,36,4,3,85
1986,4.6,35,4,3,123
2012,4.6,34,5,3,106.35
1962,4.6,34,5,1,207
2016,4.6,33,3,3,75.95
2015,4.6,33,5,3,185.3
2016,4.6,33,4,3,205.95
2016,4.6,32,5,3,40.45
2017,4.6,32,4,2,176.89
2013,4.6,32,4,3,79.9
2011,4.6,30,4,3,79
2013,4.6,30,4,3,195.27
2017,4.6,30,4,3,58.9
2014,4.6,30,4,3,1660
2013,4.6,29,5,3,111.9
2017,4.6,29,4,3,29.95
2010,4.6,28,4,3,129.9
2017,4.6,28,4,3,69.95
2016,4.6,28,4,3,299
2010,4.6,28,4,3,3119.08
2013,4.6,28,4,3,99.95
2016,4.6,28,,,41.69
2004,4.6,27,4,3,374.35
2017,4.6,27,5,3,46.45
2011,4.6,27,4,3,2750
2016,4.6,26,4,3,42.5
2012,4.6,25,5,3,95
,4.6,25,4,3,197.3
2004,4.6,25,2,3,130
1968,4.6,25,5,1,181.5
2016,4.5,7529,5,3,29.8
2013,4.5,7435,5,3,73
2014,4.5,7237,5,3,56.27
2014,4.5,5863,5,3,69
2018,4.5,5372,5,3,45
2015,4.5,5365,5,3,75
2015,4.5,4979,5,3,69.8
2017,4.5,4935,5,3,121.9368259
2016,4.5,4411,5,3,78.65
2005,4.5,3521,4,3,400
2005,4.5,3443,4,3,125
2009,4.5,3148,4,3,229
2016,4.5,3118,5,3,40.41
2016,4.5,2887,5,3,101.94
2015,4.5,2858,5,3,172.5
2015,4.5,2712,4,3,33.2
2014,4.5,2710,5,3,125
2010,4.5,2551,5,3,125
2015,4.5,2530,5,3,125
2016,4.5,2228,4,3,31.75
2017,4.5,2220,4,3,39.5
2011,4.5,2207,5,3,64
2019,4.5,2144,5,3,33.8
2014,4.5,1910,4,3,58.95
2018,4.5,1864,5,3,33.25
2018,4.5,1520,4,3,61.84917653
2017,4.5,1503,5,3,44.27
2015,4.5,1393,5,3,45.9
2003,4.5,1346,5,3,239.2
2015,4.5,1345,4,3,68.9
2003,4.5,1236,5,3,164
2018,4.5,1192,3,3,32.85
2014,4.5,1163,5,3,40.95
2014,4.5,1148,5,3,69.58032359
2017,4.5,1094,5,3,110
2012,4.5,1089,4,3,49.75
2014,4.5,1014,4,3,51
2011,4.5,1012,4,3,59.9
2004,4.5,990,4,3,290.7
2019,4.5,961,3,3,37.7
2015,4.5,955,4,3,146.95
,4.5,854,5,1,68.9
2016,4.5,838,4,3,70.5
2016,4.5,813,4,3,64
2010,4.5,729,5,3,168
2011,4.5,719,5,3,173.95
2017,4.5,666,4,3,65
2014,4.5,642,4,3,67.6
2015,4.5,629,5,3,53.95
2016,4.5,595,5,3,42.95
1995,4.5,574,4,3,127.23
2019,4.5,550,4,3,47.3
2015,4.5,529,4,3,169.4
2007,4.5,529,4,3,121.8389633
2017,4.5,505,4,3,34.8
2017,4.5,503,5,3,55.35
2016,4.5,501,5,3,75.95
2011,4.5,500,5,3,48.7
2012,4.5,499,4,3,118.89
2005,4.5,493,4,3,92.87162741
1996,4.5,488,5,3,290.4
2017,4.5,477,5,3,31.8
2010,4.5,469,4,3,149.5
2018,4.5,462,5,3,35.85
2015,4.5,420,5,3,82.95
2012,4.5,406,5,3,59
